Rank,Player,Team,GP,G,A,PTS,+/-,PIM,PTS/G,SOG,PCT,GWG,PPG,PPA,SHG,SHA
1,Leon Draisaitl, C ,EDM,71,43,67,110,-7,18,1.55,218,19.7,10,16,28,0,0
2,Connor McDavid, C ,EDM,64,34,63,97,-6,28,1.52,212,16.0,6,11,32,0,0
3,David Pastrnak, RW,BOS,70,48,47,95,21,40,1.36,279,17.2,10,20,18,0,0
,Artemi Panarin, LW,NYR,69,32,63,95,36,20,1.38,209,15.3,4,7,17,0,0
5,Nathan MacKinnon, C ,COL,69,35,58,93,13,12,1.35,318,11.0,4,12,19,0,0
6,Brad Marchand, LW,BOS,70,28,59,87,25,82,1.24,185,15.1,5,5,23,1,2
7,Nikita Kucherov, RW,TB,68,33,52,85,26,38,1.25,210,15.7,6,4,21,0,0
8,Patrick Kane, RW,CHI,70,33,51,84,8,40,1.20,275,12.0,2,8,15,0,0
9,Auston Matthews, C ,TOR,70,47,33,80,19,8,1.14,290,16.2,5,12,13,0,0
10,Jack Eichel, C ,BUF,68,36,42,78,5,34,1.15,227,15.9,9,11,16,1,0
,Jonathan Huberdeau, C ,FLA,69,23,55,78,5,30,1.13,152,15.1,3,5,24,0,0
12,Mika Zibanejad, C ,NYR,57,41,34,75,9,14,1.32,208,19.7,6,15,12,3,2
,John Carlson, D ,WSH,69,15,60,75,12,26,1.09,189,7.9,6,2,24,0,0
14,Evgeni Malkin, C ,PIT,55,25,49,74,7,58,1.35,171,14.6,5,7,17,0,0
15,Kyle Connor, LW,WPG,71,38,35,73,4,34,1.03,239,15.9,7,9,8,1,1
,Mark Scheifele, C ,WPG,71,29,44,73,2,45,1.03,170,17.1,6,10,10,0,0
17,J.T. Miller, C ,VAN,69,27,45,72,11,47,1.04,165,16.4,3,9,16,0,2
18,Alex Ovechkin, LW,WSH,68,48,19,67,-12,30,0.99,311,15.4,3,13,5,0,0
,Mitch Marner, C ,TOR,59,16,51,67,6,16,1.14,154,10.4,2,6,18,0,1
20,Sebastian Aho, LW,CAR,68,38,28,66,10,26,0.97,206,18.4,5,8,9,4,1
,Max Pacioretty, LW,VGS,71,32,34,66,18,44,0.93,307,10.4,5,8,11,0,0
,Steven Stamkos, C ,TB,57,29,37,66,14,22,1.16,176,16.5,6,10,9,0,0
,Elias Pettersson, C ,VAN,68,27,39,66,16,18,0.97,162,16.7,5,8,16,0,0
24,Blake Wheeler, RW,WPG,71,22,43,65,1,37,0.92,180,12.2,2,4,18,1,1
,Roman Josi, D ,NSH,69,16,49,65,22,41,0.94,260,6.2,1,4,19,0,0
26,Brayden Point, C ,TB,66,25,39,64,28,11,0.97,141,17.7,4,8,5,0,0
27,Patrik Laine, RW,WPG,68,28,35,63,8,22,0.93,226,12.4,1,8,8,0,0
,Mark Stone, RW,VGS,65,21,42,63,15,27,0.97,168,12.5,3,6,11,0,1
,Teuvo Teravainen, LW,CAR,68,15,48,63,20,8,0.93,182,8.2,1,4,17,1,3
30,Anze Kopitar, C ,LA,70,21,41,62,6,16,0.89,135,15.6,5,7,14,1,0
,Aleksander Barkov, C ,FLA,66,20,42,62,2,18,0.94,172,11.6,2,7,13,0,1
32,Travis Konecny, C ,PHI,66,24,37,61,-1,28,0.92,141,17.0,3,5,18,0,0
,Andrei Svechnikov, RW,CAR,68,24,37,61,9,54,0.90,183,13.1,5,6,14,0,0
,Matthew Tkachuk, LW,CGY,69,23,38,61,-5,74,0.88,188,12.2,4,5,14,0,0
,Ryan Nugent-Hopkins, C ,EDM,65,22,39,61,1,33,0.94,172,12.8,4,7,17,0,0
,Tomas Tatar, LW,MTL,68,22,39,61,5,36,0.90,162,13.6,1,8,6,0,0
,Ryan O'Reilly, C ,STL,71,12,49,61,11,10,0.86,118,10.2,3,2,16,1,0
38,John Tavares, C ,TOR,63,26,34,60,-7,24,0.95,197,13.2,4,7,14,0,0
,David Perron, LW,STL,71,25,35,60,2,52,0.85,166,15.1,9,9,18,0,0
,Mathew Barzal, C ,NYI,68,19,41,60,5,44,0.88,171,11.1,2,4,8,0,0